StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_9,Q10_10,Q10_11,Q10_12
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Enter your anonymous four-digit ID number below:,What is your gender?,What year were you born?,Where are you from?,What is your highest educational level?,Do you identify as being neurodivergent?,Do you have experience working or interacting with neurodivergent individuals?,"If you answered yes to the previous question, please indicate how much experience you have:","Please answer every question.
Rate your confidence on a scale from 1 (very uncertain) to 10 (very certain). - How certain are you that you are able to successfully identify the issues the neurodivergent individual wishes to address during the conversation?","Please answer every question.
Rate your confidence on a scale from 1 (very uncertain) to 10 (very certain). - How certain are you that you are able to successfully make an agenda/plan for the conversation with the neurodivergent individual?","Please answer every question.
Rate your confidence on a scale from 1 (very uncertain) to 10 (very certain). - How certain are you that you are able to successfully urge the neurodivergent individual to expand on their problems/worries?","Please answer every question.
Rate your confidence on a scale from 1 (very uncertain) to 10 (very certain). - How certain are you that you are able to successfully listen attentively without interrupting or changing focus?","Please answer every question.
Rate your confidence on a scale from 1 (very uncertain) to 10 (very certain). - How certain are you that you are able to successfully encourage the neurodivergent individual to express thoughts and feelings?","Please answer every question.
Rate your confidence on a scale from 1 (very uncertain) to 10 (very certain). - How certain are you that you are able to successfully structure the conversation with the neurodivergent individual?","Please answer every question.
Rate your confidence on a scale from 1 (very uncertain) to 10 (very certain). - How certain are you that you are able to successfully demonstrate appropriate non-verbal behavior (e.g., eye contact, facial expression, posture, and tone) in a way that is respectful of neurodivergent preferences?","Please answer every question.
Rate your confidence on a scale from 1 (very uncertain) to 10 (very certain). - How certain are you that you are able to successfully show empathy (acknowledge the neurodivergent individual's views and feelings)?","Please answer every question.
Rate your confidence on a scale from 1 (very uncertain) to 10 (very certain). - How certain are you that you are able to successfully clarify what the neurodivergent individual knows in order to communicate the right amount of information?","Please answer every question.
Rate your confidence on a scale from 1 (very uncertain) to 10 (very certain). - How certain are you that you are able to successfully check the neurodivergent individual's understanding of the information given?","Please answer every question.
Rate your confidence on a scale from 1 (very uncertain) to 10 (very certain). - How certain are you that you are able to successfully make a plan based on shared decisions between you and the neurodivergent individual?","Please answer every question.
Rate your confidence on a scale from 1 (very uncertain) to 10 (very certain). - How certain are you that you are able to successfully close the conversation by assuring that the neurodivergent individual's questions have been answered?"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID11_3""}","{""ImportId"":""QID11_4""}","{""ImportId"":""QID11_5""}","{""ImportId"":""QID11_6""}","{""ImportId"":""QID11_7""}","{""ImportId"":""QID11_8""}","{""ImportId"":""QID11_9""}","{""ImportId"":""QID11_10""}","{""ImportId"":""QID11_11""}","{""ImportId"":""QID11_12""}"
2025-09-17 12:11:40,2025-09-17 12:13:13,0,37.19.221.219,100,93,1,2025-09-17 12:13:14,R_6ovbF2AwPYO6ALT,,,,,29.7539,-95.359,qr,EN,1042,2,2004,1,4,1,2,,6,6,7,5,7,6,6,6,7,8,6,7
2025-09-17 12:11:40,2025-09-17 12:13:16,0,192.88.11.210,100,95,1,2025-09-17 12:13:17,R_1kuoHkUbV3tY5sJ,,,,,32.3251,-95.2981,qr,EN,1067,1,2004,1,3,1,2,,10,9,8,8,7,9,9,9,9,9,8,8
2025-09-17 12:11:41,2025-09-17 12:13:17,0,192.88.11.210,100,95,1,2025-09-17 12:13:17,R_5JkFjAsgNKJAoRH,,,,,32.3251,-95.2981,qr,EN,1044,2,2005,1,4,1,2,,8,8,8,8,8,8,8,8,8,8,8,8
2025-09-17 12:11:44,2025-09-17 12:13:18,0,192.88.11.210,100,94,1,2025-09-17 12:13:18,R_5Rg3fiiojYokZOV,,,,,32.3251,-95.2981,qr,EN,1083,2,2004,3,3,1,2,,1,1,1,7,1,1,3,6,3,3,2,2
2025-09-17 12:11:39,2025-09-17 12:13:22,0,192.88.11.210,100,102,1,2025-09-17 12:13:22,R_5p3eHrvZFmAGRAl,,,,,32.3251,-95.2981,qr,EN,1017,2,2003,1,3,3,1,4,8,7,8,10,9,8,10,10,8,7,7,7
2025-09-17 12:11:42,2025-09-17 12:13:26,0,192.88.11.210,100,104,1,2025-09-17 12:13:26,R_55zqwJxWv2eOnIG,,,,,32.3251,-95.2981,qr,EN,1088,1,1996,1,3,2,2,,4,4,7,9,8,7,7,9,6,7,7,8
2025-09-17 12:11:59,2025-09-17 12:13:27,0,192.88.11.210,100,87,1,2025-09-17 12:13:28,R_7ax8rISMRV0PUSl,,,,,32.3251,-95.2981,qr,EN,1061,1,2005,1,1,1,2,,2,2,2,2,2,2,3,2,4,3,2,2
2025-09-17 12:11:39,2025-09-17 12:13:31,0,192.88.11.210,100,112,1,2025-09-17 12:13:31,R_1O6xWvGEdjAZLZi,,,,,32.3251,-95.2981,qr,EN,1029,2,2004,1,1,1,2,,3,1,1,10,7,5,4,3,2,4,4,5
2025-09-17 12:11:50,2025-09-17 12:13:32,0,192.88.11.210,100,102,1,2025-09-17 12:13:32,R_1VeCSePDdvX5sLT,,,,,32.3251,-95.2981,qr,EN,1033,2,2005,1,3,1,2,,3,5,3,9,7,5,5,10,6,6,5,9
2025-09-17 12:11:42,2025-09-17 12:13:35,0,192.88.11.210,100,112,1,2025-09-17 12:13:35,R_1lRFK5fOY8XWMSN,,,,,32.3251,-95.2981,qr,EN,1041,2,2006,1,4,1,2,,5,5,4,6,4,5,4,5,4,6,3,4
2025-09-17 12:11:38,2025-09-17 12:13:36,0,192.88.11.210,100,118,1,2025-09-17 12:13:37,R_12JSM8ETlChYclr,,,,,32.3251,-95.2981,qr,EN,1032,2,2005,1,3,2,1,4,4,6,3,8,8,5,9,10,5,8,6,10
2025-09-17 12:11:44,2025-09-17 12:13:36,0,192.88.11.210,100,112,1,2025-09-17 12:13:37,R_1FXg3s2OuEmZu4F,,,,,32.3251,-95.2981,qr,EN,1001,2,2004,1,3,1,2,,5,5,5,5,5,6,8,10,5,5,5,5
2025-09-17 12:11:46,2025-09-17 12:13:37,0,192.88.11.210,100,110,1,2025-09-17 12:13:37,R_1WIRh62ZPcwuFRf,,,,,32.3251,-95.2981,qr,EN,1035,1,2003,1,1,1,2,,10,8,6,1,3,6,7,6,5,5,8,8
2025-09-17 12:11:42,2025-09-17 12:13:37,0,192.88.11.210,100,115,1,2025-09-17 12:13:37,R_1Oid7JxljhGSeZO,,,,,32.3251,-95.2981,qr,EN,1059,2,2003,1,4,1,1,2,6,8,8,7,9,8,8,10,9,9,9,9
2025-09-17 12:11:39,2025-09-17 12:13:42,0,192.88.11.210,100,123,1,2025-09-17 12:13:42,R_51Ht8TzSfvxyHKA,,,,,32.3251,-95.2981,qr,EN,1046,2,2003,3,4,2,2,,6,4,6,8,8,4,7,8,5,5,5,6
2025-09-17 12:11:41,2025-09-17 12:13:42,0,192.88.11.210,100,121,1,2025-09-17 12:13:43,R_5eFDSqEvKJAC2xJ,,,,,32.3251,-95.2981,qr,EN,1019,3,2006,2,3,3,1,7,10,10,10,10,10,10,10,10,10,10,10,10
2025-09-17 12:11:48,2025-09-17 12:13:43,0,174.224.7.220,100,115,1,2025-09-17 12:13:43,R_7f2hX2o47u8Pb4I,,,,,32.8372,-96.769,qr,EN,1084,2,2004,3,4,2,2,,7,9,8,8,8,8,10,10,8,8,8,8
2025-09-17 12:11:47,2025-09-17 12:13:44,0,192.88.11.210,100,116,1,2025-09-17 12:13:44,R_5Gf4thekiWiSKFX,,,,,32.3251,-95.2981,qr,EN,1096,2,2003,1,3,1,2,,7,5,5,5,5,5,5,5,5,5,5,5
2025-09-17 12:11:44,2025-09-17 12:13:47,0,192.88.11.210,100,122,1,2025-09-17 12:13:48,R_5VUaR60fNIFUzgl,,,,,32.3251,-95.2981,qr,EN,1034,2,"2005 ",2,3,1,1,5,5,6,5,7,7,7,8,9,6,6,7,7
2025-09-17 12:11:39,2025-09-17 12:13:48,0,192.88.11.210,100,129,1,2025-09-17 12:13:49,R_5hAselWTbf8fK4w,,,,,32.3251,-95.2981,qr,EN,1037,1,2004,1,3,1,2,,7,5,8,7,7,6,10,10,8,8,7,10
2025-09-17 12:11:42,2025-09-17 12:13:49,0,38.114.122.175,100,127,1,2025-09-17 12:13:49,R_6OoAAJIkTy2XCRP,,,,,32.7767,-96.805,qr,EN,1080,2,2004,1,3,1,2,,7,6,6,8,9,8,7,9,7,8,7,7
2025-09-17 12:11:42,2025-09-17 12:13:49,0,192.88.11.210,100,127,1,2025-09-17 12:13:50,R_1e9yDNBcxGADjQq,,,,,32.3251,-95.2981,qr,EN,1018,2,2000,1,3,1,2,,5,5,5,7,5,4,5,10,4,4,6,6
2025-09-17 12:12:13,2025-09-17 12:13:52,0,192.88.11.210,100,99,1,2025-09-17 12:13:53,R_5mCQfQcLp6PX79y,,,,,32.3251,-95.2981,qr,EN,1056,2,2004,1,5,1,2,,3,3,3,7,7,6,6,6,5,6,5,4
2025-09-17 12:11:47,2025-09-17 12:13:57,0,192.88.11.210,100,130,1,2025-09-17 12:13:58,R_5i3QB9Xjat1VyKt,,,,,32.3251,-95.2981,qr,EN,1069,1,2002,1,5,1,1,5,5,7,5,7,5,6,8,10,7,6,8,7
2025-09-17 12:11:41,2025-09-17 12:13:58,0,192.88.11.210,100,137,1,2025-09-17 12:13:59,R_5njVVyC3zAgwcH7,,,,,32.3251,-95.2981,qr,EN,1082,2,2006,1,4,1,2,,6,4,6,10,5,4,8,9,6,8,6,9
2025-09-17 12:11:39,2025-09-17 12:14:00,0,192.88.11.210,100,140,1,2025-09-17 12:14:00,R_5AQ1ZAmBwll23Pb,,,,,32.3251,-95.2981,qr,EN,1012,2,2004,1,4,1,2,,4,1,1,8,1,1,4,7,1,1,1,1
2025-09-17 12:11:45,2025-09-17 12:14:00,0,192.88.11.210,100,134,1,2025-09-17 12:14:00,R_1r4lve2lJAGHVBL,,,,,32.3251,-95.2981,qr,EN,1085,1,2001,1,3,3,1,5,5,6,8,6,8,3,8,10,3,6,7,7
2025-09-17 12:11:38,2025-09-17 12:14:01,0,192.88.11.210,100,142,1,2025-09-17 12:14:01,R_5NyR94IPjnSiQSb,,,,,32.3251,-95.2981,qr,EN,1007,2,1996,3,5,1,2,,6,6,5,9,8,6,9,10,8,7,7,8
2025-09-17 12:11:37,2025-09-17 12:14:01,0,192.88.11.210,100,144,1,2025-09-17 12:14:02,R_5hG952YUWvvlSHu,,,,,32.3251,-95.2981,qr,EN,1026,2,2005,1,1,1,1,3,4,3,1,2,3,3,2,4,4,4,3,2
2025-09-17 12:11:39,2025-09-17 12:14:03,0,192.88.11.210,100,143,1,2025-09-17 12:14:03,R_10UY99zgA4PyyBO,,,,,32.3251,-95.2981,qr,EN,1077,2,2007,1,4,1,2,,7,7,7,7,10,7,10,7,8,7,7,7
2025-09-17 12:11:41,2025-09-17 12:14:04,0,192.88.11.210,100,143,1,2025-09-17 12:14:04,R_1Jw2xpjO5cPQk57,,,,,32.3251,-95.2981,qr,EN,1025,2,2004,1,4,1,1,6,4,4,4,5,6,5,5,9,7,7,7,7
2025-09-17 12:11:42,2025-09-17 12:14:04,0,192.88.11.210,100,142,1,2025-09-17 12:14:05,R_5nZTWI4SsTtrgko,,,,,32.3251,-95.2981,qr,EN,1053,1,2000,1,5,1,2,,5,5,5,6,5,4,5,4,5,4,5,5
2025-09-17 12:11:39,2025-09-17 12:14:07,0,192.88.11.210,100,147,1,2025-09-17 12:14:07,R_5mU1pGrU9aMAuC5,,,,,32.3251,-95.2981,qr,EN,1081,2,2005,1,4,1,1,4,7,10,8,7,10,6,10,10,6,7,6,6
2025-09-17 12:11:41,2025-09-17 12:14:08,0,192.88.11.210,100,146,1,2025-09-17 12:14:08,R_1xpwzBUTinakEAp,,,,,32.3251,-95.2981,qr,EN,1075,2,2003,1,5,1,1,,7,7,5,9,7,7,9,10,7,6,5,6
