StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_9,Q10_10,Q10_11,Q10_12
2025-09-17 12:11:41,2025-09-17 12:14:08,0,192.88.11.210,100,147,1,2025-09-17 12:14:08,R_1rrAzoXhrGYp6Df,,,,,32.3251,-95.2981,qr,EN,1089,2,2004,1,3,1,2,,7,5,5,10,10,9,8,10,5,5,5,5
2025-09-17 12:11:45,2025-09-17 12:14:08,0,146.75.165.41,100,143,1,2025-09-17 12:14:08,R_1rSLzOKVRWEZtNN,,,,,32.3538,-95.3093,qr,EN,1072,2,9/27/2001,1,1,2,2,,7,8,8,10,10,9,10,10,10,9,9,9
2025-09-17 12:11:39,2025-09-17 12:14:08,0,192.88.11.210,100,148,1,2025-09-17 12:14:09,R_1tcC1DwhZscgYJX,,,,,32.3251,-95.2981,qr,EN,1009,2,2004,2,3,1,2,,7,7,6,10,8,7,8,10,7,7,6,6
2025-09-17 12:11:46,2025-09-17 12:14:10,0,192.88.11.210,100,143,1,2025-09-17 12:14:10,R_138Xz2m5emH3xN6,,,,,32.3251,-95.2981,qr,EN,1031,2,2003,1,4,1,2,,4,4,5,10,10,5,9,10,5,5,5,5
2025-09-17 12:11:41,2025-09-17 12:14:11,0,192.88.11.210,100,150,1,2025-09-17 12:14:12,R_1hfQLLXNKdshECu,,,,,32.3251,-95.2981,qr,EN,1013,2,2005,1,3,1,1,3,4,5,5,8,6,5,7,10,4,4,5,4
2025-09-17 12:11:39,2025-09-17 12:14:15,0,192.88.11.210,100,156,1,2025-09-17 12:14:16,R_1abIAPCrPEMcENQ,,,,,32.3251,-95.2981,qr,EN,1090,2,2002,1,4,1,1,4,6,5,7,8,6,5,9,10,8,8,5,5
2025-09-17 12:11:42,2025-09-17 12:14:15,0,192.88.11.210,100,152,1,2025-09-17 12:14:16,R_13DYdKFN5AQ8sKh,,,,,32.3251,-95.2981,qr,EN,1092,1,2004,1,4,2,2,,8,8,8,8,8,8,8,8,8,8,8,8
2025-09-17 12:11:39,2025-09-17 12:14:15,0,192.88.11.210,100,156,1,2025-09-17 12:14:16,R_1Ks8PO7vBcRJ7LC,,,,,32.3251,-95.2981,qr,EN,1051,2,2005,1,3,1,2,,8,7,8,10,10,7,10,10,9,8,9,8
2025-09-17 12:11:38,2025-09-17 12:14:16,0,192.88.11.210,100,158,1,2025-09-17 12:14:16,R_53m90hAQahWAd4j,,,,,32.3251,-95.2981,qr,EN,1008,2,2005,1,3,1,2,,7,5,9,10,7,10,10,10,5,5,5,6
2025-09-17 12:11:49,2025-09-17 12:14:16,0,67.220.94.219,100,147,1,2025-09-17 12:14:17,R_5je67t98h3bg7nm,,,,,43.6547,-79.3623,qr,EN,1068,1,2006,2,1,1,2,,3,2,2,10,5,4,6,5,5,5,5,6
2025-09-17 12:11:42,2025-09-17 12:14:21,0,192.88.11.210,100,158,1,2025-09-17 12:14:21,R_5iX6lxhQde70GMo,,,,,32.3251,-95.2981,qr,EN,1045,2,2002,1,3,1,2,,5,5,5,10,7,6,7,10,7,6,8,10
2025-09-17 12:11:42,2025-09-17 12:14:22,0,167.88.62.7,100,160,1,2025-09-17 12:14:22,R_3kk4krqtk4m4OeB,,,,,32.7797,-96.8022,qr,EN,1054,2,2005,1,3,1,1,2,7,9,9,8,8,8,9,9,9,8,8,8
2025-09-17 12:11:53,2025-09-17 12:14:23,0,192.88.11.210,100,149,1,2025-09-17 12:14:23,R_1zj7Xk4UGu4ary1,,,,,32.3251,-95.2981,qr,EN,1040,2,2004,1,4,1,1,3,4,5,4,4,4,4,5,6,3,4,4,4
2025-09-17 12:11:40,2025-09-17 12:14:23,0,192.88.11.210,100,162,1,2025-09-17 12:14:23,R_51bLnUXzgWDuUYE,,,,,32.3251,-95.2981,qr,EN,1022,2,2003,1,3,3,2,,6,3,3,4,5,5,8,7,7,8,6,8
2025-09-17 12:11:42,2025-09-17 12:14:23,0,192.88.11.210,100,161,1,2025-09-17 12:14:23,R_1urOQzI1Bkr08Lv,,,,,32.3251,-95.2981,qr,EN,1091,1,1998,1,3,1,2,,5,4,4,10,9,5,5,5,4,9,10,10
2025-09-17 12:11:40,2025-09-17 12:14:23,0,192.88.11.210,100,163,1,2025-09-17 12:14:23,R_5EbhIZ0M1CQQUDv,,,,,32.3251,-95.2981,qr,EN,1024,1,2003,1,1,1,2,,1,1,2,2,2,1,1,3,2,2,2,2
2025-09-17 12:11:39,2025-09-17 12:14:26,0,192.88.11.210,100,166,1,2025-09-17 12:14:27,R_533J1A6jlR7tDEq,,,,,32.3251,-95.2981,qr,EN,1011,2,2000,1,5,1,2,,4,2,5,7,5,2,3,8,3,5,6,3
2025-09-17 12:11:43,2025-09-17 12:14:27,0,192.88.11.210,100,164,1,2025-09-17 12:14:27,R_1kFjqvCkXufoWVM,,,,,32.3251,-95.2981,qr,EN,1052,2,2003,1,4,2,2,,5,5,6,9,9,5,8,8,8,7,8,8
2025-09-17 12:11:47,2025-09-17 12:14:29,0,192.88.11.210,100,162,1,2025-09-17 12:14:29,R_5wSgjreX62E9aqB,,,,,32.3251,-95.2981,qr,EN,1055,2,2004,1,4,1,2,,5,4,4,5,7,3,6,6,6,6,7,6
2025-09-17 12:11:48,2025-09-17 12:14:34,0,192.88.11.210,100,165,1,2025-09-17 12:14:35,R_5cWtkSv65O7iqGt,,,,,32.3251,-95.2981,qr,EN,1070,1,2004,1,4,1,2,,5,5,7,10,5,4,6,5,5,6,5,5
2025-09-17 12:11:47,2025-09-17 12:14:38,0,192.88.11.210,100,171,1,2025-09-17 12:14:39,R_1stoCqRRzcMCXFD,,,,,32.3251,-95.2981,qr,EN,1098,1,2002,3,1,1,2,,4,4,3,7,5,6,7,9,6,5,6,7
2025-09-17 12:11:38,2025-09-17 12:14:41,0,192.88.11.210,100,183,1,2025-09-17 12:14:42,R_1pcpFXWOUET2vuo,,,,,32.3251,-95.2981,qr,EN,1005,2,2004,1,3,2,1,6,8,8,6,10,8,8,10,10,8,9,8,8
2025-09-17 12:11:40,2025-09-17 12:14:42,0,172.225.248.183,100,181,1,2025-09-17 12:14:42,R_5tDwrQ2pgoBjm8h,,,,,33.7485,-84.3871,qr,EN,1020,1,2005,1,1,1,2,,5,3,4,6,7,3,4,6,4,5,4,3
2025-09-17 12:11:40,2025-09-17 12:14:47,0,192.88.11.210,100,187,1,2025-09-17 12:14:48,R_5pPsEuQ2eMeS6Ep,,,,,32.3251,-95.2981,qr,EN,1065,2,2003,1,5,1,2,,3,2,3,7,3,2,5,4,3,3,4,4
2025-09-17 12:11:40,2025-09-17 12:14:51,0,192.88.11.210,100,190,1,2025-09-17 12:14:51,R_50OFekWm1slo6Zy,,,,,32.3251,-95.2981,qr,EN,1016,2,2005,1,4,1,2,,3,3,7,5,8,10,10,9,6,5,5,5
2025-09-17 12:11:52,2025-09-17 12:14:51,0,192.88.11.210,100,179,1,2025-09-17 12:14:52,R_12QnR4LqENvgz0O,,,,,32.3251,-95.2981,qr,EN,1050,2,2004,1,4,1,2,,4,8,5,9,7,7,7,10,8,8,9,8
2025-09-17 12:11:43,2025-09-17 12:14:52,0,192.88.11.210,100,189,1,2025-09-17 12:14:53,R_5rCquKnt82B3iF5,,,,,32.3251,-95.2981,qr,EN,1064,2,2003,2,4,1,1,2,2,2,2,2,2,2,2,5,4,2,3,3
2025-09-17 12:12:16,2025-09-17 12:14:53,0,192.88.11.210,100,156,1,2025-09-17 12:14:53,R_1sSJnT3o21cVk4b,,,,,32.3251,-95.2981,qr,EN,1027,2,2005,1,4,1,2,,2,4,3,10,5,4,10,10,3,4,8,4
2025-09-17 12:11:48,2025-09-17 12:14:53,0,192.88.11.210,100,185,1,2025-09-17 12:14:53,R_1TjgtFlCxxChSUN,,,,,32.3251,-95.2981,qr,EN,1048,1,2003,1,1,1,2,,5,8,5,10,8,4,10,10,5,7,8,5
2025-09-17 12:13:50,2025-09-17 12:14:54,0,192.88.11.210,100,63,1,2025-09-17 12:14:54,R_34PH65qldvgJ1cJ,,,,,32.3251,-95.2981,qr,EN,1043,2,2005,2,4,1,2,,4,5,5,7,4,5,6,8,8,7,8,6
2025-09-17 12:11:40,2025-09-17 12:14:55,0,192.88.11.210,100,194,1,2025-09-17 12:14:55,R_5LHk6WdjrkGyzu7,,,,,32.3251,-95.2981,qr,EN,1036,1,1987,1,4,1,1,6,5,5,5,10,5,5,10,10,5,5,5,5
2025-09-17 12:11:42,2025-09-17 12:14:56,0,192.88.11.210,100,194,1,2025-09-17 12:14:57,R_5nu3pqpU7n2wlXd,,,,,32.3251,-95.2981,qr,EN,1057,2,02/21/2004,1,1,1,1,7,7,6,7,9,6,10,8,10,5,7,5,8
2025-09-17 12:11:49,2025-09-17 12:14:57,0,192.88.11.210,100,187,1,2025-09-17 12:14:57,R_12fFPgTWxO1gaG1,,,,,32.3251,-95.2981,qr,EN,1076,2,1992,1,1,1,1,4,4,4,4,4,3,4,5,5,5,4,4,4
2025-09-17 12:11:40,2025-09-17 12:15:01,0,192.88.11.210,100,200,1,2025-09-17 12:15:01,R_1cdcuJXv1uPyiSl,,,,,32.3251,-95.2981,qr,EN,1030,2,2006,1,1,1,2,,4,6,5,6,6,4,8,9,4,5,4,6
2025-09-17 12:11:51,2025-09-17 12:15:01,0,192.88.11.210,100,189,1,2025-09-17 12:15:02,R_53lgAlR7N7vWAzK,,,,,32.3251,-95.2981,qr,EN,1004,2,2000,1,5,1,2,,1,1,1,7,1,1,8,10,1,1,1,1
2025-09-17 12:11:41,2025-09-17 12:15:04,0,79.127.244.142,100,202,1,2025-09-17 12:15:04,R_3nk4kmKjVYLFfn6,,,,,32.7797,-96.8022,qr,EN,1038,1,2005,1,1,3,1,3,7,6,8,9,8,7,6,8,9,8,9,7
2025-09-17 12:12:00,2025-09-17 12:15:05,0,38.68.134.29,100,184,1,2025-09-17 12:15:05,R_116Ar0IbTvAaeB4,,,,,32.7797,-96.8022,qr,EN,1093,1,2003,1,4,3,1,3,6,5,6,8,4,6,8,7,7,6,7,6
2025-09-17 12:11:41,2025-09-17 12:15:05,0,192.88.11.210,100,204,1,2025-09-17 12:15:05,R_5OwVh580L96H7Fi,,,,,32.3251,-95.2981,qr,EN,1066,2,1983,1,5,1,1,3,5,5,5,8,8,5,10,9,7,5,8,5
2025-09-17 12:11:41,2025-09-17 12:15:05,0,192.88.11.210,100,204,1,2025-09-17 12:15:05,R_5gtmo5oLdg05Fb7,,,,,32.3251,-95.2981,qr,EN,1039,2,2004,1,1,1,2,,5,6,4,9,8,7,9,10,8,9,6,7
2025-09-17 12:11:43,2025-09-17 12:15:09,0,192.88.11.210,100,206,1,2025-09-17 12:15:09,R_5RboemZGk5JALnP,,,,,32.3251,-95.2981,qr,EN,1006,2,2004,1,4,1,1,2,1,3,2,7,3,2,4,10,5,3,1,3
2025-09-17 12:11:45,2025-09-17 12:15:14,0,192.88.11.210,100,209,1,2025-09-17 12:15:15,R_1BwUdDfxLcUspPh,,,,,32.3251,-95.2981,qr,EN,1060,2,2004,2,3,1,1,2,4,5,6,6,6,5,8,7,6,5,7,5
2025-09-17 12:11:45,2025-09-17 12:15:16,0,192.88.11.210,100,210,1,2025-09-17 12:15:16,R_5EAaBjGN0tjwMr7,,,,,32.3251,-95.2981,qr,EN,1095,2,2002,1,3,1,2,,2,3,1,10,7,3,8,9,3,2,4,7
2025-09-17 12:11:44,2025-09-17 12:15:16,0,192.88.11.210,100,212,1,2025-09-17 12:15:17,R_3GNcEHbfjfybJbc,,,,,32.7797,-96.8022,qr,EN,1078,2,2005,1,3,1,2,,1,1,1,10,3,2,2,5,1,2,1,2
2025-09-17 12:11:46,2025-09-17 12:15:18,0,69.50.95.51,100,211,1,2025-09-17 12:15:18,R_1gcIfyFQD7ejnQA,,,,,39.7391,-104.9866,qr,EN,1097,1,2001,2,4,2,2,,9,5,3,5,7,8,5,6,8,3,10,8
2025-09-17 12:11:43,2025-09-17 12:15:22,0,192.88.11.210,100,218,1,2025-09-17 12:15:22,R_1HS2BmW30Mot30Z,,,,,32.3251,-95.2981,qr,EN,1087,2,1996,2,5,2,1,3,5,2,2,7,5,4,8,10,6,7,6,4
2025-09-17 12:13:37,2025-09-17 12:15:30,0,192.88.11.210,100,112,1,2025-09-17 12:15:30,R_3KIrgxf2a4gHIXh,,,,,32.3251,-95.2981,qr,EN,1014,2,1990,1,4,2,2,,5,5,5,5,5,5,5,5,5,5,5,5
2025-09-17 12:11:46,2025-09-17 12:15:37,0,192.88.11.210,100,230,1,2025-09-17 12:15:37,R_5Ilwc6kQnosWyOZ,,,,,32.3251,-95.2981,qr,EN,1010,1,2003,1,1,1,1,5,7,7,4,6,6,5,8,8,5,9,10,9
2025-09-17 12:11:41,2025-09-17 12:15:37,0,192.88.11.210,100,236,1,2025-09-17 12:15:38,R_1gNIWLZ8SIn6ijd,,,,,32.3251,-95.2981,qr,EN,1062,2,06/16/1997,3,4,2,2,,10,10,10,10,10,10,10,10,10,10,10,10
2025-09-17 12:11:42,2025-09-17 12:15:41,0,192.88.11.210,100,239,1,2025-09-17 12:15:41,R_1NP3syurgCrW0Z3,,,,,32.3251,-95.2981,qr,EN,1002,2,2005,1,4,1,2,,3,3,3,5,3,3,5,7,5,5,3,5
2025-09-17 12:11:47,2025-09-17 12:15:47,0,192.88.11.210,100,240,1,2025-09-17 12:15:48,R_1WSDwTuG8klRFq7,,,,,32.3251,-95.2981,qr,EN,1049,2,2005,1,1,1,2,,5,6,5,10,7,5,10,10,5,5,5,5
2025-09-17 12:11:48,2025-09-17 12:15:49,0,192.88.11.210,100,240,1,2025-09-17 12:15:49,R_1kfem9S4yZnZ1Sh,,,,,32.3251,-95.2981,qr,EN,1074,2,2004,1,4,2,1,7,5,5,5,6,5,7,7,8,5,5,5,5
2025-09-17 12:11:39,2025-09-17 12:15:59,0,192.88.11.210,100,260,1,2025-09-17 12:16:00,R_1WTIxBMyPn6oNMh,,,,,32.3251,-95.2981,qr,EN,1021,2,2004,1,1,1,2,,5,5,5,7,5,5,5,7,5,6,5,6
2025-09-17 12:11:48,2025-09-17 12:16:05,0,192.88.11.210,100,257,1,2025-09-17 12:16:05,R_5krCWOiWydp4i89,,,,,32.3251,-95.2981,qr,EN,1023,1,1997,1,4,2,2,,5,6,6,7,6,6,8,9,7,4,6,6
2025-09-17 12:11:40,2025-09-17 12:16:12,0,192.88.11.210,100,271,1,2025-09-17 12:16:12,R_52tu5KeTexD3rMS,,,,,32.3251,-95.2981,qr,EN,1003,2,2004,1,4,1,2,,5,6,5,5,6,3,5,7,5,5,5,6
2025-09-17 12:11:41,2025-09-17 12:16:13,0,192.88.11.210,100,271,1,2025-09-17 12:16:13,R_3xJGYTKKExa2gaI,,,,,32.3251,-95.2981,qr,EN,1071,2,2002,1,4,3,1,6,6,4,4,8,5,6,9,8,6,7,5,6
2025-09-17 12:11:45,2025-09-17 12:16:17,0,192.88.11.210,100,271,1,2025-09-17 12:16:17,R_1hWOAF1n3oP7MCk,,,,,32.3251,-95.2981,qr,EN,1063,2,2004,1,4,3,2,,6,5,5,6,6,8,7,7,5,6,5,5
2025-09-17 12:11:44,2025-09-17 12:16:19,0,192.88.11.210,100,274,1,2025-09-17 12:16:19,R_1FKaXoaoh2j8Jda,,,,,32.3251,-95.2981,qr,EN,1094,2,2004,1,1,1,2,,7,6,8,9,10,7,8,10,6,6,9,6
2025-09-17 12:11:46,2025-09-17 12:16:35,0,192.88.11.210,100,288,1,2025-09-17 12:16:35,R_55LVF4wCBlfapu5,,,,,32.3251,-95.2981,qr,EN,1079,1,2001,1,5,2,2,,3,2,2,5,2,3,2,2,2,4,2,2
2025-09-17 12:11:40,2025-09-17 12:16:35,0,192.88.11.210,100,294,1,2025-09-17 12:16:35,R_5aYmF6p7yGn4hOx,,,,,32.3251,-95.2981,qr,EN,1073,2,2004,1,1,2,2,,3,3,3,6,6,7,8,10,6,7,7,8
2025-09-17 12:11:42,2025-09-17 12:16:39,0,192.88.11.210,100,296,1,2025-09-17 12:16:40,R_19h40dcSbeeI43v,,,,,32.3251,-95.2981,qr,EN,1028,2,1984,2,5,2,2,,8,8,6,9,10,8,8,10,7,7,10,8
2025-09-17 12:14:31,2025-09-17 12:16:42,0,192.88.11.210,100,131,1,2025-09-17 12:16:42,R_72Mhav7c8bpIVQt,,,,,32.3251,-95.2981,qr,EN,1047,2,2005,1,3,1,1,7,9,10,10,10,10,10,10,10,10,8,10,10
2025-09-17 12:13:58,2025-09-17 12:17:00,0,192.88.11.210,100,182,1,2025-09-17 12:17:01,R_341A0vfpHQeveoA,,,,,32.3251,-95.2981,qr,EN,1058,2,2001,1,4,1,2,,6,4,3,9,8,4,8,9,6,4,3,7
2025-09-17 12:11:40,2025-09-17 12:13:31,0,104.243.215.199,90,110,0,2025-09-24 12:13:34,R_1FL0n1JmPC2Ybd9,,,,,37.751,-97.822,qr,EN,1046,2,2004,1,3,2,1,7,,,,,,,,,,,,
2025-09-17 12:15:29,2025-09-17 12:15:39,0,192.88.11.210,20,10,0,2025-09-24 12:15:43,R_65WIyNRiQhRatlg,,,,,32.3251,-95.2981,qr,EN,1019,,,,,,,,,,,,,,,,,,,
