StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q22,Q23,Q24,Q25,Q26,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please enter your anonymous ID number.,What is your age?,Gender,Ethnicity,Financial Security,Poor people are different from the rest of society.,Poor people are dishonest.,Most poor people are dirty.,Poor people act differently.,Children raised on welfare will never amount to anything.,I believe poor people have a different set of values than other people have.,Poor people generally have lower intelligence than non-poor people.,There is a lot of fraud among welfare recipients.,"Some ""poor"" people live better than I do, considering all their benefits.",Poor people think they deserve to be supported.,Welfare mothers have babies to get more money.,An able-bodied person collecting welfare is ripping off the system.,Unemployed poor people could find jobs if they tried harder.,Welfare makes people lazy.,Benefits for poor people consume a major part of the federal budget.,People are poor due to circumstances beyond their control.,I would support a program that resulted in higher taxes to support social programs for poor people.,"If I were poor, I would accept welfare benefits.",Poor people should not be blamed for their misfortune.,Society has the responsibility of helping poor people.,Poor people are discriminated against.
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID22_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}"
2025-09-17 12:17:50,2025-09-17 12:19:53,IP Address,38.114.122.175,100,122,True,2025-09-17 12:19:53,R_6oHeqUMBtum8Thd,,,,,32.7767,-96.805,qr,EN,1080,18-24 years old,Female,Caucasian,Somewhat secure,Disagree,Disagree,Disagree,Neutral,Strongly disagree,Disagree,Strongly disagree,Disagree,Neutral,Disagree,Strongly disagree,Disagree,Disagree,Neutral,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly agree
2025-09-17 12:17:49,2025-09-17 12:19:54,IP Address,192.88.11.210,100,124,True,2025-09-17 12:19:55,R_3I0cb7HzcfOT9ux,,,,,32.3251,-95.2981,qr,EN,1096,18-24 years old,Female,Caucasian,Somewhat secure,Neutral,Disagree,Neutral,Agree,Strongly disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
2025-09-17 12:17:59,2025-09-17 12:19:57,IP Address,192.88.11.210,100,118,True,2025-09-17 12:19:58,R_1Rq2z42w6xH2OI1,,,,,32.3251,-95.2981,qr,EN,1083,18-24 years old,Female,African-Canadian/Black,Very secure,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
2025-09-17 12:17:44,2025-09-17 12:20:03,IP Address,192.88.11.210,100,139,True,2025-09-17 12:20:03,R_5hhikEDDQyCR5K8,,,,,32.3251,-95.2981,qr,EN,1005,18-24 years old,Female,Caucasian,Secure,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Neutral,Strongly agree,Neutral,Strongly agree,Strongly agree,Agree,Strongly agree
2025-09-17 12:18:38,2025-09-17 12:20:17,IP Address,192.88.11.210,100,98,True,2025-09-17 12:20:17,R_5pKIPxHd6C0HObM,,,,,32.3251,-95.2981,qr,EN,1019,18-24 years old,Non-binary / third gender,Caucasian,Somewhat insecure,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree
2025-09-17 12:17:50,2025-09-17 12:20:20,IP Address,192.88.11.210,100,150,True,2025-09-17 12:20:21,R_6r60UFmpSyf9Ixp,,,,,32.3251,-95.2981,qr,EN,1053,25-34 years old,Male,Caucasian,Somewhat secure,Neutral,Disagree,Disagree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Agree
2025-09-17 12:17:48,2025-09-17 12:20:22,IP Address,192.88.11.210,100,153,True,2025-09-17 12:20:22,R_31z1gRzgEW5ZWY3,,,,,32.3251,-95.2981,qr,EN,1017,18-24 years old,Female,African-Canadian/Black,Very secure,Disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Strongly disagree,Disagree,Disagree,Disagree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
2025-09-17 12:17:43,2025-09-17 12:20:26,IP Address,192.88.11.210,100,162,True,2025-09-17 12:20:26,R_5n7M0Wx7grco14Z,,,,,32.3251,-95.2981,qr,EN,1032,18-24 years old,Female,Caucasian,Very insecure,Agree,Neutral,Neutral,Neutral,Strongly disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Neutral,Disagree,Neutral,Neutral,Neutral,Disagree,Agree,Neutral,Disagree,Agree
2025-09-17 12:17:48,2025-09-17 12:20:26,IP Address,192.88.11.210,100,157,True,2025-09-17 12:20:26,R_3FyuiuDaMVR99ld,,,,,32.3251,-95.2981,qr,EN,1081,18-24 years old,Female,Multiethnic,Somewhat secure,Agree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Neutral,Strongly agree,Strongly agree,Agree,Strongly agree
2025-09-17 12:17:44,2025-09-17 12:20:32,IP Address,192.88.11.210,100,168,True,2025-09-17 12:20:33,R_5nUxSx11HHvLrZF,,,,,32.3251,-95.2981,qr,EN,1026,18-24 years old,Female,Caucasian,Very secure,Disagree,Disagree,Disagree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree
2025-09-17 12:17:52,2025-09-17 12:20:37,IP Address,192.88.11.210,100,165,True,2025-09-17 12:20:38,R_5rCFkAIyO0l1Zvz,,,,,32.3251,-95.2981,qr,EN,1082,18-24 years old,Female,Other,Somewhat secure,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree
2025-09-17 12:17:51,2025-09-17 12:20:38,IP Address,192.88.11.210,100,167,True,2025-09-17 12:20:38,R_115kHgsQycwVZgr,,,,,32.3251,-95.2981,qr,EN,1004,25-34 years old,Female,Caucasian,Somewhat insecure,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree
2025-09-17 12:17:47,2025-09-17 12:20:39,IP Address,192.88.11.210,100,171,True,2025-09-17 12:20:39,R_30OtNpkgZvqd3t9,,,,,32.3251,-95.2981,qr,EN,1006,18-24 years old,Female,Other,Very secure,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Agree,Agree,Disagree,Agree,Strongly agree,Strongly agree
2025-09-17 12:17:50,2025-09-17 12:20:40,IP Address,192.88.11.210,100,169,True,2025-09-17 12:20:40,R_6wKTFyu8Jw3WlsF,,,,,32.3251,-95.2981,qr,EN,1016,18-24 years old,Female,Caucasian,Secure,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
2025-09-17 12:18:03,2025-09-17 12:20:41,IP Address,146.75.165.41,100,158,True,2025-09-17 12:20:42,R_5fxHCD49YsNkDBk,,,,,32.3538,-95.3093,qr,EN,1072,18-24 years old,Female,Caucasian,Secure,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Disagree,Neutral,Strongly agree,Strongly agree,Strongly agree
2025-09-17 12:17:52,2025-09-17 12:20:43,IP Address,192.88.11.210,100,171,True,2025-09-17 12:20:43,R_3dEVcx5otrnbRUu,,,,,32.3251,-95.2981,qr,EN,1067,18-24 years old,Male,Caucasian,Very secure,Agree,Neutral,Neutral,Agree,Disagree,Agree,Neutral,Agree,Disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,Neutral,Disagree,Strongly disagree,Strongly agree,Neutral,Strongly disagree,Strongly agree
2025-09-17 12:17:45,2025-09-17 12:20:43,IP Address,192.88.11.210,100,178,True,2025-09-17 12:20:44,R_3rPN56p2dAnGlas,,,,,32.3251,-95.2981,qr,EN,1088,25-34 years old,Male,Caucasian,Somewhat secure,Agree,Neutral,Agree,Agree,Strongly disagree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Disagree,Neutral,Disagree,Agree,Neutral,Agree,Agree
2025-09-17 12:17:55,2025-09-17 12:20:46,IP Address,167.88.62.7,100,171,True,2025-09-17 12:20:46,R_1CIfXeMzafDRwoV,,,,,32.7797,-96.8022,qr,EN,1054,18-24 years old,Female,Other,Very secure,Disagree,Neutral,Disagree,Agree,Neutral,Agree,Disagree,Agree,Neutral,Agree,Disagree,Disagree,Neutral,Neutral,Disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree
2025-09-17 12:17:48,2025-09-17 12:20:47,IP Address,192.88.11.210,100,178,True,2025-09-17 12:20:47,R_3I3SAhpHvo93TmT,,,,,32.3251,-95.2981,qr,EN,1033,18-24 years old,Female,Caucasian,Secure,Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Disagree,Strongly disagree,Agree,Agree,Neutral,Neutral,Strongly disagree,Agree,Neutral,Disagree,Agree
2025-09-17 12:17:56,2025-09-17 12:20:52,IP Address,192.88.11.210,100,175,True,2025-09-17 12:20:52,R_6P03yAIwBtfdC83,,,,,32.3251,-95.2981,qr,EN,1069,18-24 years old,Male,Asian,Somewhat secure,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Strongly agree,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Agree
2025-09-17 12:17:59,2025-09-17 12:20:52,IP Address,192.88.11.210,100,172,True,2025-09-17 12:20:53,R_3ZeiQ5DakXuW9bj,,,,,32.3251,-95.2981,qr,EN,1007,25-34 years old,Female,Other,Somewhat secure,Disagree,Disagree,Strongly disagree,Neutral,Strongly disagree,Disagree,Strongly disagree,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Neutral,Agree,Agree,Agree,Neutral,Agree
2025-09-17 12:17:55,2025-09-17 12:20:55,IP Address,192.88.11.210,100,180,True,2025-09-17 12:20:56,R_6CIyz0kWDBK342m,,,,,32.3251,-95.2981,qr,EN,1071,18-24 years old,Female,Caucasian,Secure,Disagree,Disagree,Neutral,Neutral,Strongly disagree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Disagree,Disagree,Agree,Agree,Disagree,Agree
2025-09-17 12:18:06,2025-09-17 12:20:56,IP Address,192.88.11.210,100,170,True,2025-09-17 12:20:56,R_5R7LR6IpEtH5dVw,,,,,32.3251,-95.2981,qr,EN,1052,18-24 years old,Female,Asian,Secure,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Disagree,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Disagree
2025-09-17 12:17:54,2025-09-17 12:20:57,IP Address,192.88.11.210,100,182,True,2025-09-17 12:20:57,R_3X68uiWzZG7D0Zj,,,,,32.3251,-95.2981,qr,EN,1034,18-24 years old,Female,Other,Somewhat secure,Disagree,Neutral,Disagree,Neutral,Disagree,Neutral,Disagree,Neutral,Disagree,Neutral,Disagree,Neutral,Neutral,Neutral,Disagree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral
2025-09-17 12:17:47,2025-09-17 12:20:58,IP Address,192.88.11.210,100,190,True,2025-09-17 12:20:58,R_3pX1FsMANkjlAaS,,,,,32.3251,-95.2981,qr,EN,1018,25-34 years old,Female,Caucasian,Somewhat secure,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral,Strongly agree
2025-09-17 12:17:48,2025-09-17 12:20:57,IP Address,192.88.11.210,100,188,True,2025-09-17 12:20:58,R_639xapVfnylMhiq,,,,,32.3251,-95.2981,qr,EN,1029,18-24 years old,Female,Caucasian,Somewhat insecure,Agree,Disagree,Disagree,Agree,Strongly disagree,Agree,Agree,Agree,Disagree,Disagree,Strongly disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Disagree,Neutral
2025-09-17 12:17:55,2025-09-17 12:20:59,IP Address,192.88.11.210,100,184,True,2025-09-17 12:20:59,R_689Mbr8FkjO2813,,,,,32.3251,-95.2981,qr,EN,1060,18-24 years old,Female,Caucasian,Somewhat insecure,Disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Agree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
2025-09-17 12:17:48,2025-09-17 12:21:00,IP Address,192.88.11.210,100,191,True,2025-09-17 12:21:00,R_6dGPk2zXQtQmnDr,,,,,32.3251,-95.2981,qr,EN,1014,35-44 years old,Female,Caucasian,Secure,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Agree,Neutral,Neutral
2025-09-17 12:17:48,2025-09-17 12:21:03,IP Address,192.88.11.210,100,194,True,2025-09-17 12:21:03,R_39hpKJYH4WQqcfp,,,,,32.3251,-95.2981,qr,EN,1001,18-24 years old,Female,African-Canadian/Black,Somewhat secure,Disagree,Disagree,Disagree,Agree,Strongly disagree,Neutral,Disagree,Disagree,Strongly disagree,Strongly agree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Neutral,Strongly agree,Neutral,Strongly agree,Agree,Agree,Strongly agree
2025-09-17 12:17:51,2025-09-17 12:21:03,IP Address,192.88.11.210,100,191,True,2025-09-17 12:21:04,R_3XD3Pf4mwdzVne9,,,,,32.3251,-95.2981,qr,EN,1075,18-24 years old,Female,Caucasian,Secure,Disagree,Strongly disagree,Agree,Disagree,Strongly disagree,Disagree,Agree,Strongly agree,Strongly agree,Neutral,Neutral,Strongly agree,Neutral,Agree,Strongly agree,Neutral,Strongly disagree,Disagree,Agree,Neutral,Strongly agree
2025-09-17 12:17:54,2025-09-17 12:21:06,IP Address,192.88.11.210,100,191,True,2025-09-17 12:21:06,R_3aKo1WhKf9uvZVv,,,,,32.3251,-95.2981,qr,EN,1009,18-24 years old,Female,Caucasian,Secure,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Neutral,Neutral
2025-09-17 12:17:57,2025-09-17 12:21:05,IP Address,192.88.11.210,100,188,True,2025-09-17 12:21:06,R_6GkacoeTtwZQsyf,,,,,32.3251,-95.2981,qr,EN,1055,18-24 years old,Female,Other,Very secure,Disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Neutral,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Strongly disagree,Agree,Agree,Neutral,Agree,Neutral,Agree
2025-09-17 12:17:52,2025-09-17 12:21:09,IP Address,192.88.11.210,100,197,True,2025-09-17 12:21:10,R_3MXixrwQEy2yaQ1,,,,,32.3251,-95.2981,qr,EN,1024,18-24 years old,Male,Asian,Somewhat secure,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Strongly agree,Neutral,Disagree,Agree,Neutral
2025-09-17 12:17:47,2025-09-17 12:21:09,IP Address,192.88.11.210,100,202,True,2025-09-17 12:21:10,R_6K8Q3caQWPzGbkH,,,,,32.3251,-95.2981,qr,EN,1045,18-24 years old,Female,Caucasian,Secure,Disagree,Disagree,Neutral,Disagree,Disagree,Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Agree,Agree,Neutral,Neutral
2025-09-17 12:17:49,2025-09-17 12:21:10,IP Address,192.88.11.210,100,201,True,2025-09-17 12:21:11,R_67Oo78oBnjewJTL,,,,,32.3251,-95.2981,qr,EN,1065,18-24 years old,Female,Caucasian,Very secure,Disagree,Disagree,Disagree,Neutral,Strongly disagree,Neutral,Strongly disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Agree,Neutral,Agree,Agree,Strongly agree,Strongly agree
2025-09-17 12:17:53,2025-09-17 12:21:10,IP Address,192.88.11.210,100,197,True,2025-09-17 12:21:11,R_7ANjNo8UN5ILYkR,,,,,32.3251,-95.2981,qr,EN,1077,18-24 years old,Female,Multiethnic,Very secure,Neutral,Disagree,Neutral,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Neutral,Neutral,Agree,Disagree,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Agree,Neutral
2025-09-17 12:17:55,2025-09-17 12:21:12,IP Address,192.88.11.210,100,197,True,2025-09-17 12:21:13,R_3QUp7eRdnkpDsVX,,,,,32.3251,-95.2981,qr,EN,1035,18-24 years old,Male,Other,Insecure,Agree,Disagree,Disagree,Disagree,Neutral,Neutral,Disagree,Disagree,Disagree,Strongly disagree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Disagree,Neutral,Strongly agree
2025-09-17 12:17:46,2025-09-17 12:21:15,IP Address,192.88.11.210,100,209,True,2025-09-17 12:21:16,R_3h6l0UMBovwjqLj,,,,,32.3251,-95.2981,qr,EN,1012,18-24 years old,Female,Other,Somewhat secure,Neutral,Strongly disagree,Neutral,Agree,Strongly disagree,Disagree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Disagree,Strongly agree,Agree,Neutral,Strongly agree
2025-09-17 12:18:18,2025-09-17 12:21:17,IP Address,192.88.11.210,100,179,True,2025-09-17 12:21:18,R_3OjOuUf71SeWQ4d,,,,,32.3251,-95.2981,qr,EN,1056,18-24 years old,Female,African-Canadian/Black,Somewhat secure,Agree,Disagree,Agree,Neutral,Disagree,Neutral,Disagree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree
2025-09-17 12:18:01,2025-09-17 12:21:19,IP Address,192.88.11.210,100,197,True,2025-09-17 12:21:19,R_7uP5FL2XH8dfvcq,,,,,32.3251,-95.2981,qr,EN,1008,18-24 years old,Female,Caucasian,Very secure,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral,Strongly disagree,Agree,Disagree,Neutral,Agree,Neutral,Neutral,Agree,Disagree,Neutral,Agree,Disagree,Neutral
2025-09-17 12:17:50,2025-09-17 12:21:20,IP Address,192.88.11.210,100,209,True,2025-09-17 12:21:20,R_3a0r4OzenN396AV,,,,,32.3251,-95.2981,qr,EN,1091,25-34 years old,Male,Caucasian,Somewhat insecure,Agree,Disagree,Strongly disagree,Neutral,Strongly disagree,Neutral,Strongly disagree,Disagree,Neutral,Disagree,Neutral,Disagree,Neutral,Neutral,Neutral,Strongly agree,Agree,Neutral,Strongly agree,Neutral,Agree
2025-09-17 12:17:51,2025-09-17 12:21:25,IP Address,192.88.11.210,100,213,True,2025-09-17 12:21:25,R_71dYxHlKrC4EANA,,,,,32.3251,-95.2981,qr,EN,1064,18-24 years old,Female,Other,Somewhat secure,Disagree,Strongly disagree,Neutral,Disagree,Neutral,Neutral,Disagree,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
2025-09-17 12:17:51,2025-09-17 12:21:26,IP Address,192.88.11.210,100,215,True,2025-09-17 12:21:27,R_3uSKxyBdkPJFWkF,,,,,32.3251,-95.2981,qr,EN,1013,18-24 years old,Female,Caucasian,Secure,Disagree,Neutral,Neutral,Neutral,Disagree,Disagree,Neutral,Disagree,Disagree,Neutral,Disagree,Disagree,Neutral,Disagree,Disagree,Neutral,Neutral,Agree,Disagree,Neutral,Neutral
